"Club","FileName","Status","SourcePage","WikimediaFile","DownloadUrl","Notes"
"Moana Surf Life Saving Club","moana-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Moana-Beach-0851.jpg","Moana-Beach-0851.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Moana-Beach-0851.jpg/1280px-Moana-Beach-0851.jpg","Open-source locality image. Verify licence and attribution before public launch."
"Murray Bridge Life Saving Club","murray-bridge-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Murray_Bridge_-_paddle_steamer_under_bridge(GN14105).jpg","Murray_Bridge_-_paddle_steamer_under_bridge(GN14105).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Murray_Bridge_-_paddle_steamer_under_bridge%28GN14105%29.jpg/1280px-Murray_Bridge_-_paddle_steamer_under_bridge%28GN14105%29.jpg","Open-source Murray Bridge locality image. Not a club image."
"Normanville Surf Life Saving Club","normanville-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Normanville_coastline.JPG","Normanville_coastline.JPG","https://upload.wikimedia.org/wikipedia/commons/8/85/Normanville_coastline.JPG","Open-source locality image. Verify licence and attribution before public launch."
"North Haven Surf Life Saving Club","north-haven-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Semaphore_(beach_area)(GN14533).jpg","Semaphore_(beach_area)(GN14533).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Semaphore_%28beach_area%29%28GN14533%29.jpg/1280px-Semaphore_%28beach_area%29%28GN14533%29.jpg","Temporary north-western Adelaide coast image. Replace with North Haven club-approved image when available."
"Port Elliot Surf Life Saving Club","port-elliot-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Horseshoe_Bay_panorama.jpg","Horseshoe_Bay_panorama.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Horseshoe_Bay_panorama.jpg/1280px-Horseshoe_Bay_panorama.jpg","Open-source locality image. Verify licence and attribution before public launch."
"Port Noarlunga Surf Life Saving Club","port-noarlunga-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Port_Noarlunga_-_South_Australia_(15324590967).jpg","Port_Noarlunga_-_South_Australia_(15324590967).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Port_Noarlunga_-_South_Australia_%2815324590967%29.jpg/1280px-Port_Noarlunga_-_South_Australia_%2815324590967%29.jpg","Open-source locality image. Verify licence and attribution before public launch."
"Robe Surf Life Saving Club","robe-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Town_Beach,_Robe_20230214_1.jpg","Town_Beach,_Robe_20230214_1.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Town_Beach%2C_Robe_20230214_1.jpg/1280px-Town_Beach%2C_Robe_20230214_1.jpg","Open-source locality image. Verify licence and attribution before public launch."
"Seacliff Surf Life Saving Club","seacliff-surf-life-saving-club.jpg","Already exists","https://commons.wikimedia.org/wiki/File:Brighton_Beach,_South_Australia.jpg","Brighton_Beach,_South_Australia.jpg","","Temporary nearby coast image. Replace with Seacliff club-approved image when available."
"Semaphore Surf Life Saving Club","semaphore-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Semaphore_(beach_area)(GN14533).jpg","Semaphore_(beach_area)(GN14533).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Semaphore_%28beach_area%29%28GN14533%29.jpg/1280px-Semaphore_%28beach_area%29%28GN14533%29.jpg","Open-source locality image. Verify licence and attribution before public launch."
"Somerton Surf Life Saving Club","somerton-surf-life-saving-club.jpg","Already exists","https://commons.wikimedia.org/wiki/File:Brighton_Beach,_South_Australia.jpg","Brighton_Beach,_South_Australia.jpg","","Temporary nearby coast image. Replace with Somerton club-approved image when available."
"South Port Surf Life Saving Club","south-port-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Southport_(130304327).jpeg","Southport_(130304327).jpeg","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Southport_%28130304327%29.jpeg/1280px-Southport_%28130304327%29.jpeg","Open-source locality image. Verify licence and attribution before public launch."
"West Beach Surf Life Saving Club","west-beach-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Adelaide_-_Glenelg_Beach_(4158746916).jpg","Adelaide_-_Glenelg_Beach_(4158746916).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Adelaide_-_Glenelg_Beach_%284158746916%29.jpg/1280px-Adelaide_-_Glenelg_Beach_%284158746916%29.jpg","Temporary nearby Adelaide coast image. Replace with West Beach club-approved image when available."
"Whyalla Surf Life Saving Club","whyalla-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Whyalla_-_Whyalla_foreshore(GN15264).jpg","Whyalla_-_Whyalla_foreshore(GN15264).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Whyalla_-_Whyalla_foreshore%28GN15264%29.jpg/1280px-Whyalla_-_Whyalla_foreshore%28GN15264%29.jpg","Open-source locality image. Verify licence and attribution before public launch."
